,date,unix,open,high,low,close,volume
110,2018-05-19 20:00:00,1526760000,703.44,704.16,699.0,699.0,383.65
111,2018-05-19 21:00:00,1526763600,699.0,699.53,688.58,690.08,1480.04
112,2018-05-19 22:00:00,1526767200,690.08,696.02,683.55,691.31,246.29
113,2018-05-19 23:00:00,1526770800,691.31,698.44,689.97,695.88,372.16
114,2018-05-20 00:00:00,1526774400,695.88,696.99,687.89,691.57,67.87
115,2018-05-20 01:00:00,1526778000,691.57,696.83,689.08,694.99,55.83
116,2018-05-20 02:00:00,1526781600,694.99,707.15,694.99,706.1,471.2
117,2018-05-20 03:00:00,1526785200,706.1,708.66,701.71,705.0,345.61
118,2018-05-20 04:00:00,1526788800,705.0,710.0,701.8,704.09,1049.31
119,2018-05-20 05:00:00,1526792400,704.09,706.39,701.16,704.99,276.99
120,2018-05-20 06:00:00,1526796000,704.99,706.25,701.96,704.64,253.53
121,2018-05-20 07:00:00,1526799600,704.64,709.85,701.85,706.24,66.83
122,2018-05-20 08:00:00,1526803200,706.24,711.8,706.16,709.75,434.5
123,2018-05-20 09:00:00,1526806800,709.75,713.33,705.17,712.96,665.68
124,2018-05-20 10:00:00,1526810400,712.96,716.9,712.56,714.62,496.91
125,2018-05-20 11:00:00,1526814000,714.62,714.62,709.15,711.0,334.64
126,2018-05-20 12:00:00,1526817600,711.0,714.99,707.1,707.21,436.16
127,2018-05-20 13:00:00,1526821200,707.21,710.86,707.17,709.0,392.34
128,2018-05-20 14:00:00,1526824800,709.0,711.86,708.5,709.8,185.04
129,2018-05-20 15:00:00,1526828400,709.8,713.99,709.11,712.22,324.17
130,2018-05-20 16:00:00,1526832000,712.22,721.57,712.22,719.19,1838.24
131,2018-05-20 17:00:00,1526835600,719.19,721.8,716.36,719.71,552.07
132,2018-05-20 18:00:00,1526839200,719.71,723.16,719.56,723.16,564.06
133,2018-05-20 19:00:00,1526842800,723.16,723.16,715.0,719.23,473.89
134,2018-05-20 20:00:00,1526846400,719.23,722.0,717.63,719.11,242.07
135,2018-05-20 21:00:00,1526850000,719.11,720.93,717.45,719.0,174.21
136,2018-05-20 22:00:00,1526853600,719.0,719.97,710.74,712.94,708.8
137,2018-05-20 23:00:00,1526857200,712.94,716.0,711.66,716.0,383.96
138,2018-05-21 00:00:00,1526860800,716.0,718.12,710.11,712.99,248.99
139,2018-05-21 01:00:00,1526864400,712.99,712.99,703.86,707.25,630.17
140,2018-05-21 02:00:00,1526868000,707.25,713.0,705.76,710.52,673.87
141,2018-05-21 03:00:00,1526871600,710.52,714.0,709.28,710.44,399.92
142,2018-05-21 04:00:00,1526875200,710.44,714.9,709.8,713.72,277.39
143,2018-05-21 05:00:00,1526878800,713.72,714.0,711.25,713.01,288.05
144,2018-05-21 06:00:00,1526882400,713.01,719.12,710.93,716.82,980.9
145,2018-05-21 07:00:00,1526886000,716.82,720.0,714.02,715.98,752.75
146,2018-05-21 08:00:00,1526889600,715.98,717.08,713.28,715.41,411.11
147,2018-05-21 09:00:00,1526893200,715.41,717.02,709.62,710.0,523.72
148,2018-05-21 10:00:00,1526896800,710.0,711.99,705.5,707.16,708.67
149,2018-05-21 11:00:00,1526900400,707.16,710.0,705.0,709.44,853.4
150,2018-05-21 12:00:00,1526904000,709.44,709.93,706.19,707.0,714.61
151,2018-05-21 13:00:00,1526907600,707.0,707.73,704.72,706.98,594.56
152,2018-05-21 14:00:00,1526911200,706.98,706.98,695.14,699.08,1305.47
153,2018-05-21 15:00:00,1526914800,699.08,700.0,697.02,700.0,550.82
154,2018-05-21 16:00:00,1526918400,700.0,700.0,694.03,696.96,824.94
155,2018-05-21 17:00:00,1526922000,696.96,696.96,693.53,694.74,371.84
156,2018-05-21 18:00:00,1526925600,694.74,694.81,687.8,688.54,626.06
157,2018-05-21 19:00:00,1526929200,688.54,697.48,688.54,696.68,293.98
158,2018-05-21 20:00:00,1526932800,696.68,699.59,694.0,698.59,408.59
159,2018-05-21 21:00:00,1526936400,698.59,698.59,693.99,695.6,467.96
160,2018-05-21 22:00:00,1526940000,695.6,697.71,693.99,697.37,128.64
161,2018-05-21 23:00:00,1526943600,697.37,701.14,695.88,696.43,941.69
162,2018-05-22 00:00:00,1526947200,696.43,699.57,693.85,695.46,274.85
163,2018-05-22 01:00:00,1526950800,695.46,695.46,680.96,687.07,1494.07
164,2018-05-22 02:00:00,1526954400,687.07,690.9,682.95,688.02,1279.51
165,2018-05-22 03:00:00,1526958000,688.02,688.99,680.88,687.98,3015.52
166,2018-05-22 04:00:00,1526961600,687.98,688.29,683.53,687.74,745.48
167,2018-05-22 05:00:00,1526965200,687.74,689.0,686.23,688.88,898.83
168,2018-05-22 06:00:00,1526968800,688.88,697.97,687.4,693.43,1301.1
169,2018-05-22 07:00:00,1526972400,693.43,694.95,691.6,694.12,1031.74
170,2018-05-22 08:00:00,1526976000,694.12,694.69,690.0,690.0,390.89
171,2018-05-22 09:00:00,1526979600,690.0,690.23,681.01,684.98,1269.52
172,2018-05-22 10:00:00,1526983200,684.98,692.29,684.66,689.5,2137.96
173,2018-05-22 11:00:00,1526986800,689.5,690.99,682.77,682.77,479.79
174,2018-05-22 12:00:00,1526990400,682.77,685.05,675.0,679.33,1577.44
175,2018-05-22 13:00:00,1526994000,679.33,686.39,677.96,683.82,513.06
176,2018-05-22 14:00:00,1526997600,683.82,685.67,679.0,680.94,826.52
177,2018-05-22 15:00:00,1527001200,680.94,682.0,678.17,678.17,648.97
178,2018-05-22 16:00:00,1527004800,678.17,680.92,677.47,678.86,238.6
179,2018-05-22 17:00:00,1527008400,678.86,679.76,672.78,674.24,1310.35
180,2018-05-22 18:00:00,1527012000,674.24,674.67,670.0,671.7,625.62
181,2018-05-22 19:00:00,1527015600,671.7,672.76,662.58,665.8,1668.45
182,2018-05-22 20:00:00,1527019200,665.8,665.82,653.6,654.36,1123.05
183,2018-05-22 21:00:00,1527022800,654.36,658.52,647.02,648.99,3103.77
184,2018-05-22 22:00:00,1527026400,648.99,653.99,637.93,639.68,1942.06
185,2018-05-22 23:00:00,1527030000,639.68,647.68,639.41,640.86,2332.85
186,2018-05-23 00:00:00,1527033600,640.86,649.89,637.77,637.77,2888.6
187,2018-05-23 01:00:00,1527037200,637.77,638.0,624.31,630.0,2733.23
188,2018-05-23 02:00:00,1527040800,630.0,636.64,628.0,633.98,1867.72
189,2018-05-23 03:00:00,1527044400,633.98,643.22,632.74,640.98,1613.38
190,2018-05-23 04:00:00,1527048000,640.98,640.98,631.29,634.45,2150.84
191,2018-05-23 05:00:00,1527051600,634.45,642.0,632.23,638.99,380.56
192,2018-05-23 06:00:00,1527055200,638.99,642.54,637.84,641.81,333.47
193,2018-05-23 07:00:00,1527058800,641.81,641.81,618.47,621.45,1569.24
194,2018-05-23 08:00:00,1527062400,621.45,626.0,611.86,615.99,2815.62
195,2018-05-23 09:00:00,1527066000,615.99,620.66,610.0,615.85,3351.19
196,2018-05-23 10:00:00,1527069600,615.85,627.24,615.83,620.8,1265.14
197,2018-05-23 11:00:00,1527073200,620.8,624.05,612.0,621.19,1355.53
198,2018-05-23 12:00:00,1527076800,621.19,628.6,617.44,626.25,707.13
199,2018-05-23 13:00:00,1527080400,626.25,626.77,618.97,618.97,827.34
200,2018-05-23 14:00:00,1527084000,618.97,621.09,614.0,616.79,830.87
201,2018-05-23 15:00:00,1527087600,616.79,619.95,594.27,598.84,6770.14
202,2018-05-23 16:00:00,1527091200,598.84,599.48,579.49,586.73,8672.67
203,2018-05-23 17:00:00,1527094800,586.73,588.7,564.94,570.99,12375.89
204,2018-05-23 18:00:00,1527098400,570.99,589.23,567.21,579.9,4747.74
205,2018-05-23 19:00:00,1527102000,579.9,595.43,579.9,589.79,1983.81
206,2018-05-23 20:00:00,1527105600,589.79,597.4,581.79,587.27,2926.2
207,2018-05-23 21:00:00,1527109200,587.27,597.0,585.62,597.0,1345.95
208,2018-05-23 22:00:00,1527112800,597.0,597.57,581.28,581.71,1223.73
209,2018-05-23 23:00:00,1527116400,581.71,585.58,569.46,576.84,2772.32
210,2018-05-24 00:00:00,1527120000,576.84,594.34,576.84,586.39,1244.11
211,2018-05-24 01:00:00,1527123600,586.39,598.3,586.39,591.49,1050.7
212,2018-05-24 02:00:00,1527127200,591.49,595.93,588.17,590.14,715.54
213,2018-05-24 03:00:00,1527130800,590.14,598.6,587.51,594.39,453.72
214,2018-05-24 04:00:00,1527134400,594.39,609.0,594.39,608.73,2296.88
215,2018-05-24 05:00:00,1527138000,608.73,609.0,602.45,603.9,1704.67
216,2018-05-24 06:00:00,1527141600,603.9,604.39,593.45,599.7,2155.62
217,2018-05-24 07:00:00,1527145200,599.7,602.83,589.63,591.0,1059.68
218,2018-05-24 08:00:00,1527148800,591.0,591.0,561.98,574.64,4298.45
219,2018-05-24 09:00:00,1527152400,574.64,576.99,549.28,564.06,5040.34
220,2018-05-24 10:00:00,1527156000,564.06,569.6,559.28,563.77,1880.7
221,2018-05-24 11:00:00,1527159600,563.77,569.99,562.34,565.14,1193.16
222,2018-05-24 12:00:00,1527163200,565.14,586.74,554.96,582.17,3488.99
223,2018-05-24 13:00:00,1527166800,582.17,589.86,578.21,581.98,2859.6
224,2018-05-24 14:00:00,1527170400,581.98,591.54,576.65,585.79,1335.61
225,2018-05-24 15:00:00,1527174000,585.79,594.0,580.96,594.0,1899.43
226,2018-05-24 16:00:00,1527177600,594.0,594.51,577.88,582.25,2675.64
227,2018-05-24 17:00:00,1527181200,582.25,587.48,579.2,585.68,927.01
228,2018-05-24 18:00:00,1527184800,585.68,595.85,582.84,594.16,1412.19
229,2018-05-24 19:00:00,1527188400,594.16,598.0,589.95,596.9,877.88
230,2018-05-24 20:00:00,1527192000,596.9,596.9,586.77,590.99,656.32
231,2018-05-24 21:00:00,1527195600,590.99,593.72,584.0,589.0,292.19
232,2018-05-24 22:00:00,1527199200,589.0,595.18,583.0,594.07,1405.23
233,2018-05-24 23:00:00,1527202800,594.07,604.57,592.51,601.76,1820.6
234,2018-05-25 00:00:00,1527206400,601.76,603.34,587.0,596.11,424.5
235,2018-05-25 01:00:00,1527210000,596.11,600.45,590.59,600.45,900.06
236,2018-05-25 02:00:00,1527213600,600.45,608.5,596.72,606.26,1389.9
237,2018-05-25 03:00:00,1527217200,606.26,611.0,599.22,602.5,1566.6
238,2018-05-25 04:00:00,1527220800,602.5,609.66,601.01,606.49,581.19
239,2018-05-25 05:00:00,1527224400,606.49,613.21,605.81,612.22,203.22
240,2018-05-25 06:00:00,1527228000,612.22,616.18,591.73,595.99,1437.6
241,2018-05-25 07:00:00,1527231600,595.99,597.19,586.05,594.52,3011.13
242,2018-05-25 08:00:00,1527235200,594.52,597.99,591.02,596.22,655.6
243,2018-05-25 09:00:00,1527238800,596.22,598.4,591.52,593.65,450.86
244,2018-05-25 10:00:00,1527242400,593.65,598.11,588.0,588.39,2097.19
245,2018-05-25 11:00:00,1527246000,588.39,599.1,584.27,597.18,1547.6
246,2018-05-25 12:00:00,1527249600,597.18,607.7,597.09,604.77,1035.76
247,2018-05-25 13:00:00,1527253200,604.77,605.86,596.93,600.51,631.45
248,2018-05-25 14:00:00,1527256800,600.51,603.28,594.67,596.77,397.48
249,2018-05-25 15:00:00,1527260400,596.77,600.0,590.64,599.76,1148.82
250,2018-05-25 16:00:00,1527264000,599.76,599.76,593.73,594.99,634.05
